A,125.44
AA,39.8542
AACG,0.7889
AACI,11.37
AACIW,0.145
AACT,10.67
AADI,1.28
AAGR,0.201
AAGRW,0.0171
AAL,10.95
AAMC,1.76
AAME,1.58
AAN,9.93
AAOI,7.55
AAON,83.52
AAP,59.01
AAPL,215.1
AAT,22.21
AB,33.31
ABAT,1.05
ABBV,165.45
ABCB,50.26
ABCL,2.7
ABEO,4.11
ABEV,2.02
ABG,227.14
ABIO,3.61
ABL,8.61
ABLLL,25.79
ABLLW,
ABLV,1.03
ABM,49.83
ABNB,151.29
ABOS,2.23
ABR,14.17
ABSI,2.915
ABT,102.7
ABTS,0.56
ABUS,3.09
ABVC,0.743
ABVX,13.27
AC,32.57
ACA,80.54
ACAB,11.36
ACAD,15.75
ACB,4.46
ACBA,12.03
ACBAW,0.02
ACCD,3.48
ACCO,4.565
ACDC,7.07
ACEL,9.95
ACET,1.09
ACGL,99.09
ACGLN,19.18
ACGLO,22.15
ACHC,65.27
ACHL,0.802
ACHR,3.47
ACHV,4.58
ACI,19.725
ACIC,10.41
ACIU,3.81
ACIW,39.01
ACLS,139
ACLX,53
ACM,85.07
ACMR,22.45
ACN,300.93
ACNB,35.7
ACNT,8.83
ACON,0.2855
ACONW,0.0358
ACP,6.66
ACR,13.03
ACRE,6.51
ACRS,1.12
ACRV,5.7401
ACST,2.81
ACT,30.96
ACTG,4.9601
ACU,34.29
ACV,20.75
ACVA,17.46
ACXP,2.07
ADAG,2.99
ADAP,1.03
ADBE,560
ADC,61.56
ADCT,3.42
ADD,0.205
ADEA,11.07
ADI,224.56
ADIL,1
ADM,60.61
ADMA,11.34
ADN,2.97
ADNT,24.47
ADNWW,0.011
ADP,234
ADPT,3.3431
ADRT,15.65
ADSE,12.6101
ADSEW,2.25
ADSK,245.77
ADT,7.34
ADTH,3.2
ADTHW,0.4606
ADTN,5.02
ADTX,1.45
ADUS,115.94
ADV,3.095
ADVM,6.6688
ADVWW,0.05
ADX,21.35
ADXN,7.84
AE,26.01
AEAEW,0.0385
AEE,70.915
AEF,5.285
AEFC,20.81
AEG,6.175
AEHL,2.37
AEHR,10.55
AEI,1.55
AEIS,105.36
AEM,64.65
AEMD,0.4025
AENT,2.94
AENTW,0.07
AEO,19.26
AEON,1.005
AEP,87.11
AER,91.61
AERT,1.72
AES,17.24
AESI,19.365
AEVA,2.24
AEYE,18.4
AEZS,4.41
AFB,11.04
AFBI,21.04
AFCG,12.06
AFG,122.12
AFGB,23.2223
AFGC,20.71
AFGD,24.31
AFGE,18.8737
AFL,88.2
AFMD,5.07
AFRI,10.8
AFRIW,1.39
AFRM,29.1629
AFT,14.5
AFYA,16.62
AG,5.725
AGAE,1.1501
AGBA,2.76
AGBAW,0.2901
AGCO,95.47
AGD,9.7
AGEN,14.21
AGFY,0.45
AGI,15.35
AGIO,41.54
AGL,5.835
AGM,180.28
AGMH,0.5001
AGNC,9.48
AGNCL,23.41
AGNCM,24.95
AGNCN,25.52
AGNCO,24.78
AGNCP,23.85
AGO,77.18
AGR,34.96
AGRI,0.0706
AGRIW,0.0041
AGRO,9.78
AGS,11.305
AGX,70.3
AGYS,102.16
AHCO,9.55
AHG,0.822
AHH,10.995
AHR,14.82
AHT,0.883
AI,28.05
AIF,14.57
AIG,73.88
AIH,0.3118
AIHS,1
AILE,8.78
AILEW,0.6896
AIM,0.36
AIMAU,11.22
AIMAW,0.0201
AIMBU,11.34
AIMD,0.78
AIN,82.53
AINC,4.925
AIO,21.54
AIP,6.89
AIR,70.13
AIRC,39.075
AIRE,1.05
AIRG,5.65
AIRI,3.33
AIRJ,9.53
AIRJW,1.35
AIRS,3.87
AIRT,22.65
AIRTP,16.82
AISP,3.67
AISPW,0.3498
AIT,189.3801
AITR,10.35
AITRR,0.2
AITRU,10.5
AIU,0.45
AIV,8.335
AIXI,0.592
AIZ,164.48
AIZN,20.47
AJG,257.91
AJX,3.41
AKA,15.22
AKAM,89.56
AKAN,2.23
AKBA,0.9203
AKLI,0.4299
AKR,18.04
AKRO,22.23
AKTS,0.1141
AKTX,3.0401
AKYA,2.11
AL,46.17
ALAB,56.81
ALAR,40.15
ALB,96
ALBT,0.4445
ALC,87.95
ALCE,0.345
ALCO,25.5506
ALCY,10.72
ALCYW,0.1295
ALDX,3.16
ALE,61.51
ALEC,4.22
ALEX,16.86
ALG,166.42
ALGM,27.965
ALGN,236.395
ALGS,0.37
ALGT,48.82
ALHC,7.815
ALIM,5.52
ALIT,7.06
ALK,39.38
ALKS,24.11
ALKT,29.06
ALL,158.27
ALLE,115.33
ALLG,1.68
ALLK,0.8334
ALLO,2.125
ALLR,0.2125
ALLT,2.52
ALLY,39.04
ALNT,23.99
ALNY,242.075
ALOT,14.45
ALPN,64.97
ALPP,0.38
ALRM,62.31
ALRN,2.7001
ALRS,19.412
ALSA,11.54
ALSAR,0.0839
ALSN,74.73
ALT,6.71
ALTG,7.72
ALTI,4.6
ALTM,3.2
ALTO,1.37
ALTR,97.24
ALUR,1.05
ALV,106.53
ALVO,12.15
ALVR,0.72
ALX,216.33
ALXO,5.7
ALZN,0.395
AM,14.65
AMAL,26.86
AMAT,235.08
AMBA,53.61
AMBC,12.24
AMBI,3.81
AMBO,1.21
AMBP,3.28
AMC,5
AMCR,9.46
AMCX,9.08
AMD,156.7
AME,164.72
AMED,95.86
AMG,154.3794
AMGN,307.64
AMH,37.22
AMIX,0.9303
AMK,34.27
AMKR,40.06
AMLI,0.5275
AMLX,1.74
AMN,48.76
AMP,426.06
AMPG,1.05
AMPH,37.3
AMPL,8.53
AMPS,3.69
AMPX,1.17
AMPY,6.72
AMR,315.66
AMRC,25.77
AMRK,31.92
AMRN,0.684
AMRX,6.32
AMS,3.13
AMSC,22.77
AMSF,43.67
AMST,2.77
AMSWA,9.02
AMT,191.55
AMTB,22.68
AMTD,1.6
AMTX,2.81
AMWD,78.06
AMWL,0.26
AMX,16.8611
AMZN,195.93
AN,160.48
ANAB,23.72
ANDE,48.65
ANEB,2.4
ANET,354.925
ANF,180.3201
ANGH,1.02
ANGI,1.84
ANGO,5.6097
ANIK,25.79
ANIP,62.44
ANIX,2.18
ANL,3.5
ANNX,4.52
ANRO,11
ANSC,10.27
ANSCU,10.3
ANSS,321.16
ANTE,1.05
ANTX,2.0748
ANVS,4.53
ANY,1.01
AOD,8.35
AOGO,10.97
AOMR,12.25
AON,291.72
AONC,1.1
AONCW,
AORT,25.1725
AOS,79.68
AOSL,38.11
AOUT,8.1
AP,0.74
APA,28.965
APAM,39.95
APCA,11.45
APCX,0.97
APCXW,0.38
APD,246
APDN,0.41
APEI,16.95
APG,36.22
APGE,37.38
APH,66.54
API,2.03
APLD,6.28
APLE,14.22
APLM,0.1916
APLS,34.69
APLT,4.2699
APM,3.94
APO,117.33
APOG,61.04
APOS,
APP,82.63
APPF,242.8701
APPN,30.65
APPS,1.57
APRE,3.8
APT,5.66
APTO,0.7401
APTV,67.2
APVO,0.29
APWC,1.52
APXI,11.555
APXIW,0.1651
APYX,1.3342
AQB,1.58
AQMS,0.305
AQN,5.82
AQNB,25.14
AQNU,18.52
AQST,2.36
AQUNR,0.18
AR,32.16
ARAY,1.68
ARBB,0.5208
ARBE,1.996
ARBEW,0.1753
ARBK,1.185
ARBKL,8.78
ARC,2.91
ARCB,105.89
ARCC,20.67
ARCH,164.52
ARCO,8.77
ARCT,20.5201
ARDC,14.825
ARDX,5.07
ARE,115.66
AREB,0.448
AREBW,0.0141
AREC,0.68
AREN,0.781
ARES,135
ARGD,22.3
ARGX,429.27
ARHS,15.35
ARI,9.622
