73,KHC,The Kraft Heinz Company,43.79B,36.06,1.86%,26.32B
74,FTNT,"Fortinet, Inc.",43.17B,56.51,-1.21%,5.40B
75,ODFL,"Old Dominion Freight Line, Inc.",42.40B,195.12,-3.98%,5.88B
76,TTD,"The Trade Desk, Inc.",40.64B,83.08,-5.32%,2.05B
77,MCHP,Microchip Technology Incorporated,40.47B,75.43,-10.60%,7.63B
78,EA,Electronic Arts Inc.,39.55B,148.83,0.29%,7.56B
79,EXC,Exelon Corporation,38.77B,38.77,1.33%,22.21B
80,MPWR,"Monolithic Power Systems, Inc.",38.73B,795.76,1.38%,1.83B
81,IDXX,"IDEXX Laboratories, Inc.",38.70B,468.63,-1.93%,3.72B
82,FAST,Fastenal Company,38.54B,67.3,-0.16%,7.42B
83,NDAQ,"Nasdaq, Inc.",38.43B,66.86,-0.68%,6.21B
84,GEHC,GE HealthCare Technologies Inc.,38.10B,83.44,0.05%,19.52B
85,VRSK,"Verisk Analytics, Inc.",38.05B,266.66,2.02%,2.78B
86,TEAM,Atlassian Corporation,37.40B,143.68,-17.06%,4.17B
87,ACGL,Arch Capital Group Ltd.,37.05B,98.67,1.62%,14.41B
88,CTSH,Cognizant Technology Solutions Corporation,36.79B,74,-3.03%,19.30B
89,SMCI,"Super Micro Computer, Inc.",36.58B,624.65,-7.08%,11.82B
90,JD,"JD.com, Inc.",36.47B,25.16,-0.32%,153.02B
91,DDOG,"Datadog, Inc.",35.87B,107.25,-5.17%,2.26B
92,BKR,Baker Hughes Company,35.50B,35.74,-5.07%,27.03B
93,CCEP,Coca-Cola Europacific Partners PLC,34.44B,75.06,1.17%,20.34B
94,ALNY,"Alnylam Pharmaceuticals, Inc.",34.41B,272.05,1.28%,2.00B
95,FANG,"Diamondback Energy, Inc.",33.72B,189.06,-4.62%,8.71B
96,XEL,Xcel Energy Inc.,33.20B,59.75,1.08%,13.78B
97,MRNA,"Moderna, Inc.",33.18B,86.58,-8.06%,5.15B
98,BIDU,"Baidu, Inc.",31.84B,84.49,-2.23%,18.75B
99,CSGP,"CoStar Group, Inc.",30.85B,75.27,-2.42%,2.60B
100,FCNCO,"First Citizens BancShares, Inc.",30.39B,22.63,0.18%,9.47B
101,BIIB,Biogen Inc.,29.94B,205.66,-2.39%,9.66B
102,ARGX,argenx SE,29.88B,499.67,-3.20%,35.90M
103,ON,ON Semiconductor Corporation,29.11B,67.95,-5.49%,7.80B
104,DXCM,"DexCom, Inc.",28.97B,72.3,2.82%,3.93B
105,FER,Ferrovial SE,28.79B,39.55,1.93%,9.46B
106,WTW,Willis Towers Watson PLC,28.74B,283.02,-0.47%,9.69B
107,FWONK,Formula One Group - Series C,28.33B,77.28,-1.32%,-
108,LULU,Lululemon Athletica Inc.,28.29B,236,-5.24%,9.83B
109,FCNCA,"First Citizens BancShares, Inc.",28.25B,"1,957.66",-5.58%,9.47B
110,FWONA,Formula One Group - Series A,28.25B,70.55,-1.38%,12.72B
111,EBAY,eBay Inc.,28.21B,56.2,-0.05%,10.16B
112,CDW,CDW Corporation,28.03B,209.85,-1.75%,20.94B
113,TSCO,Tractor Supply Company,27.25B,252.77,-1.36%,14.65B
114,FITB,Fifth Third Bancorp,27.05B,39.55,-2.90%,8.15B
115,ANSS,"ANSYS, Inc.",26.38B,302.22,-2.46%,2.23B
116,ICLR,ICON PLC,26.26B,317.08,-3.08%,8.33B
117,TW,Tradeweb Markets Inc.,25.96B,109.87,-0.74%,1.51B
118,MSTR,MicroStrategy Incorporated,25.68B,"1,447.99",-4.22%,489.59M
119,ZS,"Zscaler, Inc.",25.62B,169.52,-2.82%,2.03B
120,TCOM,Trip.com Group Limited,25.33B,39.32,-4.42%,6.56B
121,GFS,GLOBALFOUNDRIES Inc.,25.26B,45.47,-5.33%,7.10B
122,TTWO,"Take-Two Interactive Software, Inc.",25.14B,143.68,-1.56%,5.35B
123,VOD,Vodafone Group PLC,24.74B,9.3,0.76%,39.91B
124,SBAC,SBA Communications Corporation,24.68B,229.73,1.13%,2.69B
125,NTAP,"NetApp, Inc.",24.47B,119.05,-2.82%,6.27B
126,TROW,"T. Rowe Price Group, Inc.",23.70B,106.47,-4.96%,6.80B
127,KSPI,Kaspi.kz JSC,23.04B,120,-3.47%,4.37B
128,FSLR,"First Solar, Inc.",22.81B,213.05,-2.50%,3.76B
129,ERIC,Telefonaktiebolaget LM Ericsson (publ),22.67B,6.74,-0.59%,26.13B
130,APP,AppLovin Corporation,22.61B,68.72,-8.48%,3.63B
131,AXON,"Axon Enterprise, Inc.",22.06B,292.36,-2.43%,1.68B
132,DLTR,"Dollar Tree, Inc.",21.39B,99.53,-0.22%,30.91B
133,PTC,PTC Inc.,20.60B,172.05,-2.17%,2.24B
134,CINF,Cincinnati Financial Corporation,20.37B,130.35,0.32%,10.65B
135,WBD,"Warner Bros. Discovery, Inc.",20.26B,8.27,-1.31%,40.58B
136,ERIE,Erie Indemnity Company,20.23B,437.9,-0.41%,3.55B
137,LINE,"Lineage, Inc.",20.10B,85.99,-0.20%,5.34B
138,CHKP,Check Point Software Technologies Ltd.,20.03B,180.42,-0.77%,2.49B
139,HBAN,Huntington Bancshares Incorporated,19.97B,13.75,-4.31%,6.77B
140,STX,Seagate Technology Holdings plc,19.86B,94.57,-4.48%,6.27B
141,BNTX,BioNTech SE,19.50B,82.01,1.65%,2.97B
142,HOLX,"Hologic, Inc.",19.43B,83.64,0.53%,3.99B
143,LI,Li Auto Inc.,19.32B,19.2,-0.88%,18.15B
144,STLD,"Steel Dynamics, Inc.",19.06B,121.28,-4.01%,18.60B
145,ILMN,"Illumina, Inc.",18.75B,117.7,-3.80%,4.49B
146,WDC,Western Digital Corporation,18.69B,57.23,-5.45%,11.91B
147,COO,"The Cooper Companies, Inc.",18.57B,93.27,-0.99%,3.73B
148,GMAB,Genmab A/S,18.40B,28.24,-0.39%,2.57B
149,VRSN,"VeriSign, Inc.",18.32B,187.71,-0.35%,1.53B
150,TER,"Teradyne, Inc.",18.31B,117.27,-3.67%,2.66B
151,ZM,"Zoom Video Communications, Inc.",18.09B,58.49,-0.81%,4.56B
152,BGNE,"BeiGene, Ltd.",18.02B,163.23,0.58%,2.76B
153,RYAAY,Ryanair Holdings plc,17.84B,98.76,-1.24%,14.61B
154,SSNC,"SS&C Technologies Holdings, Inc.",17.71B,71.59,-0.80%,5.58B
155,PFG,"Principal Financial Group, Inc.",17.46B,75.41,-5.10%,14.90B
156,NTRS,Northern Trust Corporation,17.37B,84.89,-2.30%,6.67B
157,MDB,"MongoDB, Inc.",17.07B,232.7,-2.77%,1.77B
158,FOX,Fox Corporation,16.87B,34.88,-0.91%,13.92B
159,FOXA,Fox Corporation,16.81B,37.31,-1.22%,13.92B
160,SWKS,"Skyworks Solutions, Inc.",16.72B,104.7,-3.06%,4.37B
161,JBHT,"J.B. Hunt Transport Services, Inc.",16.68B,163.59,-2.83%,12.34B
162,ZBRA,Zebra Technologies Corporation,16.62B,322.3,-5.92%,4.36B
163,TPG,TPG Inc.,16.44B,45.08,-8.47%,2.57B
164,ULTA,"Ulta Beauty, Inc.",16.27B,341.01,-2.55%,11.30B
165,ALGN,"Align Technology, Inc.",16.07B,213.49,-6.50%,3.92B
166,BMRN,BioMarin Pharmaceutical Inc.,15.99B,84.2,-0.50%,2.47B
167,CG,The Carlyle Group Inc.,15.92B,44.23,-7.39%,2.79B
